Time[s]	Voltage[kV]	Displacement[$\mu$-m]
2.452895164965003616e+01	-2.271064344378835198e+00	-1.240790294681183292e+00
2.456039902355984239e+01	-2.166409886192769196e+00	-1.203992101642940904e+00
2.459184639746964862e+01	-2.059613160963265077e+00	-1.165348783208401739e+00
2.462329377137945841e+01	-1.950779775254545489e+00	-1.124932243432872569e+00
2.465474114528926464e+01	-1.840017349594456952e+00	-1.082820138299404489e+00
2.468618851919907442e+01	-1.727435412053195174e+00	-1.039094886094590109e+00
2.471763589310888065e+01	-1.613145289935936200e+00	-9.938427408792578355e-01
2.474908326701869044e+01	-1.497259999696079369e+00	-9.471529267077497538e-01
2.478053064092849667e+01	-1.379894135178371561e+00	-8.991168779934146649e-01
2.481197801483830290e+01	-1.261163754302025319e+00	-8.498275223223172858e-01
2.484342538874811268e+01	-1.141186264296206954e+00	-7.993786625196044326e-01
2.487487276265791891e+01	-1.020080305601255288e+00	-7.478644344295222179e-01
2.490632013656772870e+01	-8.979656345502962100e-01	-6.953788380248121515e-01
2.493776751047753493e+01	-7.749630049476022853e-01	-6.420153430385714399e-01
2.496921488438734471e+01	-6.511940486603811085e-01	-5.878665577475206128e-01
2.500066225829715094e+01	-5.267811553425042481e-01	-5.330239630820094998e-01
2.503210963220695717e+01	-4.018473514086876031e-01	-4.775776929820648165e-01
2.506355700611676696e+01	-2.765161783791458272e-01	-4.216163764830110905e-01
2.509500438002657319e+01	-1.509115707148824259e-01	-3.652270059846655093e-01
2.512645175393638297e+01	-2.515773326427655707e-02	-3.084948646017167673e-01
2.515789912784618920e+01	1.006209815574918148e-01	-2.515034472241610697e-01
2.518934650175599543e+01	2.263001967351518096e-01	-1.943344493958411023e-01
2.522079387566580522e+01	3.517556336442356213e-01	-1.370677443779515225e-01
2.525224124957561145e+01	4.768632349446780272e-01	-7.978139520525542872e-02
2.528368862348542123e+01	6.014992872557396453e-01	-2.255166822076173916e-02
2.531513599739522746e+01	7.255405434905911610e-01	3.454694054679978421e-02
2.534658337130503725e+01	8.488643447300265876e-01	9.144167154909864370e-02
2.537803074521484348e+01	9.713487415143378101e-01	1.480614697486558051e-01
2.540947811912464971e+01	1.092872614433846978e+00	2.043369420358333577e-01
2.544092549303445949e+01	1.213315793898497974e+00	2.602003272369555753e-01
2.547237286694426572e+01	1.332559178968216074e+00	3.155854549184994862e-01
2.550382024085407551e+01	1.450484855126661143e+00	3.704277192359266557e-01
2.553526761476388174e+01	1.566976210881577458e+00	4.246640348496102391e-01
2.556671498867369152e+01	1.681918053076852937e+00	4.782328324454504509e-01
2.559816236258349775e+01	1.795196720801839119e+00	5.310740158523130638e-01
2.562960973649330398e+01	1.906700197785694995e+00	5.831289619272994607e-01
2.566105711040311377e+01	2.016318223165291190e+00	6.343404912729125877e-01
2.569250448431292000e+01	2.123942400517268680e+00	6.846528717777636830e-01
2.572395185822272978e+01	2.229466305046563068e+00	7.340118021132200354e-01
2.575539923213253601e+01	2.332785588825083245e+00	7.823644183763203142e-01
2.578684660604234580e+01	2.433798083976864923e+00	8.296592914017566489e-01
2.581829397995215203e+01	2.532403903707276971e+00	8.758464305468648403e-01
2.584974135386195826e+01	2.628505541076741725e+00	9.208772980477469838e-01
2.588118872777176804e+01	2.722007965421003650e+00	9.647048171447247800e-01
2.591263610168157427e+01	2.812818716322725621e+00	1.007283381425230884e+00
2.594408347559138406e+01	2.900847995041584859e+00	1.048568844137979017e+00
2.597553084950119029e+01	2.986008753312200170e+00	1.088518599297244593e+00
2.600697822341100007e+01	3.068216779422392460e+00	1.127091542255696854e+00
2.603842559732080630e+01	3.147390781486353983e+00	1.164248121815661285e+00
2.606987297123061254e+01	3.223452467830667079e+00	1.199950322263804603e+00
2.610132034514042232e+01	3.296326624413453033e+00	1.234161729858440415e+00
2.613276771905022855e+01	3.365941189200193140e+00	1.266847511610126542e+00
2.616421509296003833e+01	3.432227323422746945e+00	1.297974471683545294e+00
2.619566246686984456e+01	3.495119479650908190e+00	1.327511037798732030e+00
2.622710984077965080e+01	3.554555466609415237e+00	1.355427324410483747e+00
2.625855721468946058e+01	3.610476510676131845e+00	1.381695098638060726e+00
2.629000458859926681e+01	3.662827314000670409e+00	1.406287845583879648e+00
